13619,0,715931,0,2991,10880,13359,13058,9933,11733,13431,6473,4741,5672,23613,27461,6340,5459,9340,6365,7836,9740,14701,19540,16099,22324,22852,27309,27329,42158,56971,75358,100619,217919,1910718,29161,0,0,0,0
7501,0,730404,0,9,163,1567,2728,2539,3166,4763,5083,3558,4413,30750,37110,6997,4606,9042,6022,8576,9987,14878,23669,18105,24276,27845,30939,28395,46290,65145,78913,112173,220569,1901046,29806,0,0,0,0
6309,0,756765,0,14,189,2139,3019,2818,3792,5114,5121,3729,4988,29487,36664,7670,4573,9011,6236,9106,9844,14645,22486,18098,22954,27631,29345,27765,45355,63785,82834,109573,220109,1877027,32838,0,0,0,0
7304,0,813898,0,2666,13074,15774,14048,10246,12219,14248,5916,5698,6116,14526,17477,6322,5294,8299,6364,7621,10057,15226,16577,14967,21348,20231,22235,28807,38666,53772,72159,108634,215977,1840846,34421,0,0,0,0
10377,0,820812,0,8,138,1208,2179,1764,2419,3313,3398,2946,3033,20244,25074,4683,3988,7506,5483,7065,9282,14440,21881,17444,22099,26925,32939,28930,42940,70769,75077,126233,220106,1831888,34442,0,0,0,0
13685,0,828036,0,8,131,1657,2648,2416,3260,4246,4031,3587,4300,19214,24412,6554,5151,9189,6566,9643,10902,15094,22946,18078,24113,28834,30432,31260,45972,65460,79742,117708,214612,1811442,35704,0,0,0,0
17126,0,841113,0,1,97,1105,1884,1712,2262,3123,3314,2592,3055,21191,26741,5217,4177,8128,5493,7894,9423,14087,23033,17605,22102,28214,33629,28461,43982,70651,80416,124584,217288,1792871,38462,0,0,0,0
29859,0,860148,0,4,83,896,1532,1421,1833,2507,2879,2180,2510,21922,25938,4355,3575,7381,4863,6931,8295,12736,21694,16916,20172,27509,33081,26418,41726,71084,82018,125160,218892,1772386,42129,0,0,0,0
33057,0,911260,0,12,205,1515,2646,1733,2886,3360,2995,3143,3026,12423,14934,3848,3482,6297,5002,6235,8630,12892,15073,13169,19278,20020,21377,28575,37236,51471,75656,115667,221811,1797396,44723,0,0,0,0
37100,0,917977,0,14,228,1706,2717,2289,3295,4039,3371,3087,3306,12453,16235,4778,4187,7389,5725,7013,8940,12303,17095,14130,19703,21321,24248,29558,39570,54056,81749,115697,224584,1751257,49913,0,0,0,0
39527,0,928633,0,11,136,1390,2334,2038,2820,3488,3166,2756,3085,12412,16853,4595,4042,7333,5275,7206,8656,11999,17592,14195,19308,21589,24613,29056,38789,54085,83012,113472,220415,1748985,48167,0,0,0,0
40569,0,945400,0,7,153,1704,2545,2357,3100,3807,3090,2731,3052,12594,16683,4663,4051,7557,5289,7319,8676,11494,17720,14036,18516,22160,24477,28228,38689,54929,86181,114444,221066,1722457,51289,0,0,0,0
35858,0,975728,0,2,118,1179,1895,1829,2294,2982,2939,2314,2763,13677,16880,4477,3824,7011,4924,6734,7946,11039,17229,13674,17675,21490,24164,26948,37438,54847,89524,114511,223330,1698363,55427,0,0,0,0
